Domain	Status	Genome Name	GOLD Project ID	GOLD Analysis Project ID	Submission ID	Ecosystem Category
Bacteria	Permanent Draft	Abiotrophia defectiva ATCC 49176	Gp0004152	Ga0024130	35480	Human
Bacteria	Permanent Draft	Acetobacteraceae bacterium AT-5844	Gp0008829	Ga0009642	8776	Human
Bacteria	Permanent Draft	Achromobacter xylosoxidans C54	Gp0004110	Ga0015000	18016	Human
Bacteria	Finished	Achromobacter xylosoxidans C54	Gp0107250	Ga0069425	70765	Human
Bacteria	Finished	Achromobacter xylosoxidans FDAARGOS_147	Gp0205786	Ga0175022	118387	Human
Bacteria	Finished	Achromobacter xylosoxidans FDAARGOS_150	Gp0205765	Ga0175014	118051	Human
Bacteria	Finished	Achromobacter xylosoxidans FDAARGOS_162	Gp0205764	Ga0175685	124223	Human
Bacteria	Permanent Draft	Acidaminococcus intestini DSM 21505	Gp0013860	Ga0002705	14873	Human
Bacteria	Finished	Acidaminococcus intestini RyC-MR95	Gp0004062	Ga0009335	7385	Human
Bacteria	Permanent Draft	Acidaminococcus sp. D21	Gp0004051	Ga0027281		Human
Bacteria	Permanent Draft	Acidaminococcus sp. HPA0509	Gp0020632	Ga0016994	20503	Human
Bacteria	Finished	Acinetobacter baumannii 11510	Gp0203346	Ga0175268	117899	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 1605	Gp0044148	Ga0018257	22242	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 3909	Gp0008631	Ga0019544	23630	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 3990	Gp0008630	Ga0019543	23629	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 4190	Gp0008930	Ga0019545	23631	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 48055	Gp0036056	Ga0021297	25230	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 53264	Gp0023862	Ga0020951	24882	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 5711	Gp0016474	Ga0020266	24266	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 6013113	Gp0004127	Ga0024127	35477	Human
Bacteria	Permanent Draft	Acinetobacter baumannii 6013150	Gp0004128	Ga0027321		Human
Bacteria	Permanent Draft	Acinetobacter baumannii 6014059	Gp0004234	Ga0024128	35478	Human
Bacteria	Permanent Draft	Acinetobacter baumannii A118	Gp0008830	Ga0019782	23873	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AA-014	Gp0008934	Ga0014951	17966	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB-HKU3-10	Gp0044962	Ga0021674	25586	Human
Bacteria	Finished	Acinetobacter baumannii AB0057	Gp0000864	Ga0027302		Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB056	Gp0006404	Ga0027303		Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB058	Gp0006567	Ga0019722	23813	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB059	Gp0006403	Ga0019721	23810	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB1H8	Gp0023871	Ga0020986	24917	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB210	Gp0008601	Ga0014994	18010	Human
Bacteria	Finished	Acinetobacter baumannii AB307-0294	Gp0004394	Ga0027304		Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB405E4	Gp0023912	Ga0020975	24906	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB4A3	Gp0023872	Ga0020985	24916	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB900	Gp0004609	Ga0027305		Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_1582-8	Gp0023864	Ga0020942	24873	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_1594-8	Gp0023866	Ga0020940	24871	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_1595_8	Gp0023867	Ga0020971	24902	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_1766_8	Gp0023143	Ga0020970	24901	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_2008-15-34-7	Gp0023183	Ga0020947	24878	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_2008-15-45	Gp0023184	Ga0020961	24892	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_2008-15-52	Gp0023185	Ga0020957	24888	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_2008-15-70	Gp0023187	Ga0020964	24895	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_2008-15-71	Gp0023188	Ga0020949	24880	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_2009-04-01-7	Gp0023191	Ga0020948	24879	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_2009-04-02-7	Gp0023192	Ga0020965	24896	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_515-8	Gp0023737	Ga0020963	24894	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_908-13	Gp0023738	Ga0020955	24886	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_908-14-7	Gp0023739	Ga0020956	24887	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_909-01-7	Gp0023740	Ga0020938	24869	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_909-02-7	Gp0023741	Ga0020988	24919	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_909-05	Gp0023742	Ga0020990	24921	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG2018	Gp0023745	Ga0020994	24925	Human
Bacteria	Permanent Draft	Acinetobacter baumannii AB_TG2022	Gp0023746	Ga0020983	24914	Human
