Domain	Status	Genome Name	GOLD Project ID	GOLD Analysis Project ID	Submission ID	Habitat
Bacteria	Permanent Draft	Acetomicrobium hydrogeniformans ATCC BAA-1850	Gp0025572	Ga0027248		Human intestinal microflora
Bacteria	Permanent Draft	Acetomicrobium hydrogeniformans ATCC BAA-1850 (MSI sequence)	Gp0025572	Ga0011396	10679	Human intestinal microflora
Bacteria	Finished	Acidaminococcus intestini RyC-MR95	Gp0004062	Ga0009335	7385	Human intestinal microflora
Bacteria	Permanent Draft	Acidaminococcus sp. D21	Gp0004051	Ga0027281		Human intestinal microflora
Bacteria	Permanent Draft	Acinetobacter junii SH205	Gp0004158	Ga0027316		Human fecal
Bacteria	Permanent Draft	Actinomyces odontolyticus ATCC 17982	Gp0000877	Ga0027354		Human intestinal microflora
Bacteria	Permanent Draft	Actinomyces odontolyticus F0309	Gp0004265	Ga0027355		Human intestinal microflora
Bacteria	Permanent Draft	Actinomyces sp. oral taxon 848 F0332	Gp0005076	Ga0027363		Human intestinal microflora
Bacteria	Permanent Draft	Alistipes indistinctus YIT 12060	Gp0006546	Ga0009631	8765	Human intestinal microflora
Bacteria	Permanent Draft	Alistipes obesi ph8	Gp0017130	Ga0019651	23738	Human fecal
Bacteria	Permanent Draft	Alistipes putredinis DSM 17216	Gp0001935	Ga0027407		Human intestinal microflora
Bacteria	Permanent Draft	Alistipes senegalensis JC50	Gp0014227	Ga0019622	23709	Human fecal
Bacteria	Permanent Draft	Alistipes shahii WAL 8301	Gp0004336	Ga0027408		Human intestinal microflora
Bacteria	Permanent Draft	Alistipes sp. HGB5	Gp0008822	Ga0009494	7595	Human intestinal microflora
Bacteria	Permanent Draft	Anaerococcus hydrogenalis DSM 7454	Gp0003597	Ga0027426		Human intestinal microflora
Bacteria	Permanent Draft	Anaerofustis stercorihominis DSM 17244	Gp0001936	Ga0027431		Human intestinal microflora
Bacteria	Permanent Draft	Anaerostipes caccae DSM 14662	Gp0000894	Ga0027437		Human intestinal microflora
Bacteria	Permanent Draft	Anaerostipes sp. 3_2_56FAA	Gp0005363	Ga0027438		Human intestinal microflora
Bacteria	Permanent Draft	Anaerotruncus colihominis DSM 17241	Gp0001937	Ga0027439		Human fecal
Bacteria	Permanent Draft	Aneurinibacillus aneurinilyticus ATCC 12856	Gp0003515	Ga0024346	35879	Human fecal
Bacteria	Draft	Bacillus coagulans GBI-30	Gp0019211	Ga0010016	8078	Human intestinal microflora
Bacteria	Permanent Draft	Bacillus massilioanorexius AP8	Gp0023896	Ga0019666	23753	Human fecal
Bacteria	Permanent Draft	Bacillus massiliosenegalensis JC6	Gp0022053	Ga0019659	23746	Human fecal
Bacteria	Permanent Draft	Bacillus smithii 7_3_47FAA	Gp0005397	Ga0009736	8882	Human intestinal microflora
Bacteria	Permanent Draft	Bacillus sp. 7_6_55CFAA_CT2	Gp0005398	Ga0009678	8819	Human intestinal microflora
Bacteria	Permanent Draft	Bacillus sp. BT1B_CT2	Gp0005361	Ga0027700		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides caccae ATCC 43185	Gp0000883	Ga0027739		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides cellulosilyticus DSM 14838	Gp0003712	Ga0027741		Human fecal
Bacteria	Permanent Draft	Bacteroides clarus DSM 22519	Gp0148801	Ga0131239	96840	Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides clarus YIT 12056	Gp0006623	Ga0027742		Human intestinal microflora
Bacteria	Permanent Draft	"Bacteroides coprocola M16, DSM 17136"	Gp0005536	Ga0027743		Human fecal
Bacteria	Permanent Draft	"Bacteroides coprophilus DSM 18228, JCM 13818"	Gp0003953	Ga0027744		Human fecal
Bacteria	Permanent Draft	Bacteroides dorei 5_1_36/D4	Gp0000263	Ga0027782		Human fecal
Bacteria	Permanent Draft	Bacteroides dorei DSM 17855	Gp0003531	Ga0027745		Human fecal
Bacteria	Permanent Draft	Bacteroides eggerthii 1_2_48FAA	Gp0002520	Ga0027746		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides eggerthii 1_2_48FAA	Gp0089181	Ga0032464	77846	Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides eggerthii DSM 20697	Gp0003532	Ga0027747		Human fecal
Bacteria	Permanent Draft	Bacteroides finegoldii DSM 17565	Gp0003533	Ga0024095	35445	Human fecal
Bacteria	Permanent Draft	Bacteroides fluxus YIT 12057	Gp0006728	Ga0027748		Human intestinal microflora
Bacteria	Permanent Draft	"Bacteroides intestinalis 341, DSM 17393"	Gp0000884	Ga0027754		Human fecal
Bacteria	Permanent Draft	Bacteroides oleiciplenus YIT 12058	Gp0006615	Ga0015287	18290	Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides ovatus 3_8_47FAA	Gp0002421	Ga0027755		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides ovatus ATCC 8483	Gp0000892	Ga0027756		Human fecal
Bacteria	Finished	Bacteroides ovatus ATCC 8483	Gp0144854	Ga0125169	91753	Human fecal
Bacteria	Permanent Draft	Bacteroides ovatus SD CC 2a	Gp0006414	Ga0027757		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides ovatus SD CMC 3f	Gp0006459	Ga0027758		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides pectinophilus ATCC 43243	Gp0003641	Ga0027759		Human fecal
Bacteria	Permanent Draft	"Bacteroides plebeius M12, DSM 17135"	Gp0003534	Ga0027760		Human fecal
Bacteria	Permanent Draft	Bacteroides sp. 1_1_14	Gp0004785	Ga0027762		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides sp. 1_1_30	Gp0003254	Ga0027763		Human fecal
Bacteria	Permanent Draft	Bacteroides sp. 1_1_6	Gp0003255	Ga0027764		Human fecal
Bacteria	Permanent Draft	Bacteroides sp. 2_1_56FAA	Gp0000434	Ga0027769		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides sp. 2_2_4	Gp0003286	Ga0027771		Human fecal
Bacteria	Permanent Draft	Bacteroides sp. 3_1_13	Gp0004891	Ga0081835	72247	Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides sp. 3_1_23	Gp0004892	Ga0027773		Human intestinal microflora
Bacteria	Permanent Draft	Bacteroides sp. 3_1_40A	Gp0004893	Ga0027775		Human intestinal microflora
